,original,radar,syntax
23,"static int countPairs ( int arr [ ] , int n ) {
  int count = 0 ;
  int right = 0 , left = 0 ;
  boolean visited [ ] = new boolean [ n ] ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) visited [ i ] = false ;
  while ( right < n ) {
    while ( right < n && ! visited [ arr [ right ] ] ) {
      count += ( right - left ) ;
      visited [ arr [ right ] ] = true ;
      right ++ ;
    }
    while ( left < right && ( right != n && visited [ arr [ right ] ] ) ) {
      visited [ arr [ left ] ] = false ;
      left ++ ;
    }
  }
  return count ;
}
","static int coutnPairs ( int arr [ ] , int n ) {
  int count = 0 ;
  int right = 0 , left = 0 ;
  boolean visited [ ] = new boolean [ n ] ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) visited [ i ] = false ;
  while ( right < n ) {
    while ( right < n && ! visited [ arr [ right ] ] ) {
      count += ( right - left ) ;
      visited [ arr [ right ] ] = true ;
      right ++ ;
    }
    while ( left < right && ( right != n && visited [ arr [ right ] ] ) ) {
      visited [ arr [ left ] ] = false ;
      left ++ ;
    }
  }
  return count ;
}
","static int countPairs ( int arr [ ] , int n ) {
  int count = 0 ;
  int right = 0 , left = 0 ;
  boolean visited [ ] = new boolean [ n ] ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) visited [ i ] = false ;
  for ( ;
  right < n ;
  ) {
    while ( right < n && ! visited [ arr [ right ] ] ) {
      count += ( right - left ) ;
      visited [ arr [ right ] ] = true ;
      right ++ ;
    }
    while ( left < right && ( right != n && visited [ arr [ right ] ] ) ) {
      visited [ arr [ left ] ] = false ;
      left ++ ;
    }
  }
  return count ;
}"
24,"public static int numLen ( int K ) {
  if ( K % 2 == 0 || K % 5 == 0 ) return - 1 ;
  int number = 0 ;
  int len = 1 ;
  for ( len = 1 ;
  len <= K ;
  len ++ ) {
    number = ( number * 10 + 1 ) % K ;
    if ( number == 0 ) return len ;
  }
  return - 1 ;
}
","public static int remEle ( int K ) {
  if ( K % 2 == 0 || K % 5 == 0 ) return - 1 ;
  int number = 0 ;
  int len = 1 ;
  for ( len = 1 ;
  len <= K ;
  len ++ ) {
    number = ( number * 10 + 1 ) % K ;
    if ( number == 0 ) return len ;
  }
  return - 1 ;
}
","public static int numLen ( int K ) {
  if ( K % 2 == 0 || K % 5 == 0 ) return - 1 ;
  int number = 0 ;
  int len = 1 ;
  len = 1 ;
  while ( len <= K ) {
    number = ( number * 10 + 1 ) % K ;
    if ( number == 0 ) len ++ ;
    return len ;
    len ++ ;
  }
  return - 1 ;
}"
25,"static int countKdivPairs ( int A [ ] , int n , int K ) {
  int [ ] freq = new int [ K ] ;
  int ans = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int rem = A [ i ] % K ;
    if ( rem != 0 ) ans += freq [ K - rem ] ;
    else ans += freq [ 0 ] ;
    freq [ rem ] ++ ;
  }
  return ans ;
}
","static int cuontKdivPirs ( int A [ ] , int n , int K ) {
  int [ ] freq = new int [ K ] ;
  int ans = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int rem = A [ i ] % K ;
    if ( rem != 0 ) ans += freq [ K - rem ] ;
    else ans += freq [ 0 ] ;
    freq [ rem ] ++ ;
  }
  return ans ;
}
","static int countKdivPairs ( int A [ ] , int n , int K ) {
  int [ ] freq = new int [ K ] ;
  int ans = 0 ;
  int i = 0 ;
  while ( i < n ) {
    int rem = A [ i ] % K ;
    if ( rem != 0 ) ans = ans + freq [ K - rem ] ;
    else ans = ans + freq [ 0 ] ;
    freq [ rem ] ++ ;
    i ++ ;
  }
  return ans ;
}"
26,"static String getSubSeq ( String s , int n ) {
  String res = """" ;
  int cr = 0 ;
  while ( cr < n ) {
    char mx = s . charAt ( cr ) ;
    for ( int i = cr + 1 ;
    i < n ;
    i ++ ) {
      mx = ( char ) Math . max ( mx , s . charAt ( i ) ) ;
    }
    int lst = cr ;
    for ( int i = cr ;
    i < n ;
    i ++ ) {
      if ( s . charAt ( i ) == mx ) {
        res += s . charAt ( i ) ;
        lst = i ;
      }
    }
    cr = lst + 1 ;
  }
  return res ;
}
","static String keySubSeq ( String s , int n ) {
  String res = """" ;
  int cr = 0 ;
  while ( cr < n ) {
    char mx = s . charAt ( cr ) ;
    for ( int i = cr + 1 ;
    i < n ;
    i ++ ) {
      mx = ( char ) Math . max ( mx , s . charAt ( i ) ) ;
    }
    int lst = cr ;
    for ( int i = cr ;
    i < n ;
    i ++ ) {
      if ( s . charAt ( i ) == mx ) {
        res += s . charAt ( i ) ;
        lst = i ;
      }
    }
    cr = lst + 1 ;
  }
  return res ;
}
","static String getSubSeq ( String s , int n ) {
  String res = """" ;
  int cr = 0 ;
  while ( cr < n ) {
    char mx = s . charAt ( cr ) ;
    for ( int i = cr + 1 ;
    i < n ;
    i ++ ) {
      mx = ( char ) Math . max ( mx , s . charAt ( i ) ) ;
    }
    int lst = cr ;
    for ( int i = cr ;
    i < n ;
    i ++ ) {
      if ( s . charAt ( i ) == mx ) {
        res = res + s . charAt ( i ) ;
        lst = i ;
      }
    }
    cr = lst + 1 ;
  }
  return res ;
}"
27,"static double sum ( int n ) {
  if ( n == 0 ) return 1 ;
  double ans = 1 / ( double ) Math . pow ( 3 , n ) + sum ( n - 1 ) ;
  return ans ;
}
","static double curr ( int n ) {
  if ( n == 0 ) return 1 ;
  double ans = 1 / ( double ) Math . pow ( 3 , n ) + curr ( n - 1 ) ;
  return ans ;
}
","static double sum ( int n ) {
  if ( 0 == n ) return 1 ;
  double ans = 1 / ( double ) Math . pow ( 3 , n ) + sum ( n - 1 ) ;
  return ans ;
}"
28,"static int MinRemove ( int [ ] a , int n , int k ) {
  int [ ] cnt = new int [ n ] ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    if ( a [ i ] == 0 ) cnt [ 0 ] ++ ;
    else if ( cnt [ a [ i ] - 1 ] > 0 ) {
      cnt [ a [ i ] - 1 ] -- ;
      cnt [ a [ i ] ] ++ ;
    }
  }
  return n - ( k * cnt [ k - 1 ] ) ;
}
","static int minPalin ( int [ ] a , int n , int k ) {
  int [ ] cnt = new int [ n ] ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    if ( a [ i ] == 0 ) cnt [ 0 ] ++ ;
    else if ( cnt [ a [ i ] - 1 ] > 0 ) {
      cnt [ a [ i ] - 1 ] -- ;
      cnt [ a [ i ] ] ++ ;
    }
  }
  return n - ( k * cnt [ k - 1 ] ) ;
}
","static int MinRemove ( int [ ] a , int n , int k ) {
  int [ ] cnt = new int [ n ] ;
  for ( int i = 0 ;
  n > i ;
  i ++ ) {
    if ( a [ i ] == 0 ) cnt [ 0 ] ++ ;
    else if ( cnt [ a [ i ] - 1 ] > 0 ) {
      cnt [ a [ i ] - 1 ] -- ;
      cnt [ a [ i ] ] ++ ;
    }
  }
  return n - ( k * cnt [ k - 1 ] ) ;
}"
29,"static int findNthEvenDigitNumber ( int n ) {
  if ( n == 1 ) {
    return 0 ;
  }
  Vector < Integer > v = new Vector < > ( ) ;
  n = n - 1 ;
  while ( n > 0 ) {
    v . add ( n % 5 ) ;
    n = n / 5 ;
  }
  int result = 0 ;
  for ( int i = v . size ( ) - 1 ;
  i >= 0 ;
  i -- ) {
    result = result * 10 ;
    result = result + v . get ( i ) ;
  }
  return 2 * result ;
}
","static int fidnNthPairDigitNubmer ( int n ) {
  if ( n == 1 ) {
    return 0 ;
  }
  Vector < Integer > v = new Vector < > ( ) ;
  n = n - 1 ;
  while ( n > 0 ) {
    v . add ( n % 5 ) ;
    n = n / 5 ;
  }
  int result = 0 ;
  for ( int i = v . size ( ) - 1 ;
  i >= 0 ;
  i -- ) {
    result = result * 10 ;
    result = result + v . get ( i ) ;
  }
  return 2 * result ;
}
","static int findNthEvenDigitNumber ( int n ) {
  if ( n == 1 ) {
    return 0 ;
  }
  Vector < Integer > v = new Vector < > ( ) ;
  n = n - 1 ;
  while ( 0 < n ) {
    v . add ( n % 5 ) ;
    n = n / 5 ;
  }
  int result = 0 ;
  int i = v . size ( ) - 1 ;
  while ( i >= 0 ) {
    result = result * 10 ;
    result = result + v . get ( i ) ;
    i -- ;
  }
  return 2 * result ;
}"
30,"static int rangesum ( int n , int l , int r ) {
  int [ ] arr = new int [ n ] ;
  int c = 1 , i = 0 ;
  while ( c <= n ) {
    arr [ i ++ ] = c ;
    c += 2 ;
  }
  c = 2 ;
  while ( c <= n ) {
    arr [ i ++ ] = c ;
    c += 2 ;
  }
  int sum = 0 ;
  for ( i = l - 1 ;
  i < r ;
  i ++ ) {
    sum += arr [ i ] ;
  }
  return sum ;
}
","static int ranesum ( int n , int l , int r ) {
  int [ ] arr = new int [ n ] ;
  int c = 1 , i = 0 ;
  while ( c <= n ) {
    arr [ i ++ ] = c ;
    c += 2 ;
  }
  c = 2 ;
  while ( c <= n ) {
    arr [ i ++ ] = c ;
    c += 2 ;
  }
  int sum = 0 ;
  for ( i = l - 1 ;
  i < r ;
  i ++ ) {
    sum += arr [ i ] ;
  }
  return sum ;
}
","static int rangesum ( int n , int l , int r ) {
  int [ ] arr = new int [ n ] ;
  int c = 1 , i = 0 ;
  for ( ;
  c <= n ;
  ) {
    arr [ i ++ ] = c ;
    c += 2 ;
  }
  c = 2 ;
  while ( c <= n ) {
    arr [ i ++ ] = c ;
    c += 2 ;
  }
  int sum = 0 ;
  for ( i = l - 1 ;
  r > i ;
  i ++ ) {
    sum += arr [ i ] ;
  }
  return sum ;
}"
31,"public static int minSteps ( int arr [ ] , int n ) {
  int min_Steps = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    if ( i > 0 ) min_Steps += Math . abs ( arr [ i ] - arr [ i - 1 ] ) ;
    else min_Steps += Math . abs ( arr [ i ] ) ;
  }
  return min_Steps ;
}
","public static int absSetps ( int arr [ ] , int n ) {
  int min_Steps = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    if ( i > 0 ) min_Steps += Math . abs ( arr [ i ] - arr [ i - 1 ] ) ;
    else min_Steps += Math . abs ( arr [ i ] ) ;
  }
  return min_Steps ;
}
","public static int minSteps ( int arr [ ] , int n ) {
  int min_Steps = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    if ( i > 0 ) min_Steps = min_Steps + Math . abs ( arr [ i ] - arr [ i - 1 ] ) ;
    else min_Steps = min_Steps + Math . abs ( arr [ i ] ) ;
  }
  return min_Steps ;
}"
32,"static String smallestPoss ( String s , int n ) {
  String ans = """" ;
  int arr [ ] = new int [ 10 ] ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    arr [ s . charAt ( i ) - 48 ] ++ ;
  }
  for ( int i = 0 ;
  i < 10 ;
  i ++ ) {
    for ( int j = 0 ;
    j < arr [ i ] ;
    j ++ ) ans = ans + String . valueOf ( i ) ;
  }
  return ans ;
}
","static String alternateToken ( String s , int n ) {
  String ans = """" ;
  int arr [ ] = new int [ 10 ] ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    arr [ s . charAt ( i ) - 48 ] ++ ;
  }
  for ( int i = 0 ;
  i < 10 ;
  i ++ ) {
    for ( int j = 0 ;
    j < arr [ i ] ;
    j ++ ) ans = ans + String . valueOf ( i ) ;
  }
  return ans ;
}
","static String smallestPoss ( String s , int n ) {
  String ans = """" ;
  int arr [ ] = new int [ 10 ] ;
  for ( int i = 0 ;
  n > i ;
  i ++ ) {
    arr [ s . charAt ( i ) - 48 ] ++ ;
  }
  for ( int i = 0 ;
  i < 10 ;
  i ++ ) {
    for ( int j = 0 ;
    j < arr [ i ] ;
    j ++ ) ans = ans + String . valueOf ( i ) ;
  }
  return ans ;
}"
33,"static int numLen ( int K ) {
  if ( K % 2 == 0 || K % 5 == 0 ) {
    return - 1 ;
  }
  int number = 0 ;
  int len = 1 ;
  for ( len = 1 ;
  len <= K ;
  len ++ ) {
    number = number * 10 + 1 ;
    if ( ( number % K == 0 ) ) {
      return len ;
    }
  }
  return - 1 ;
}
","static int nuLen ( int K ) {
  if ( K % 2 == 0 || K % 5 == 0 ) {
    return - 1 ;
  }
  int number = 0 ;
  int len = 1 ;
  for ( len = 1 ;
  len <= K ;
  len ++ ) {
    number = number * 10 + 1 ;
    if ( ( number % K == 0 ) ) {
      return len ;
    }
  }
  return - 1 ;
}
","static int numLen ( int K ) {
  if ( K % 2 == 0 || K % 5 == 0 ) {
    return - 1 ;
  }
  int number = 0 ;
  int len = 1 ;
  for ( len = 1 ;
  K >= len ;
  len ++ ) {
    number = number * 10 + 1 ;
    if ( ( number % K == 0 ) ) {
      return len ;
    }
  }
  return - 1 ;
}"
34,"public static int numLen ( int K ) {
  if ( K % 2 == 0 || K % 5 == 0 ) return - 1 ;
  int number = 0 ;
  int len = 1 ;
  for ( len = 1 ;
  len <= K ;
  len ++ ) {
    number = ( number * 10 + 1 ) % K ;
    if ( number == 0 ) return len ;
  }
  return - 1 ;
}
","public static int nmEle ( int K ) {
  if ( K % 2 == 0 || K % 5 == 0 ) return - 1 ;
  int number = 0 ;
  int len = 1 ;
  for ( len = 1 ;
  len <= K ;
  len ++ ) {
    number = ( number * 10 + 1 ) % K ;
    if ( number == 0 ) return len ;
  }
  return - 1 ;
}
","public static int numLen ( int K ) {
  if ( 0 == K % 2 || K % 5 == 0 ) return - 1 ;
  int number = 0 ;
  int len = 1 ;
  len = 1 ;
  while ( len <= K ) {
    number = ( number * 10 + 1 ) % K ;
    if ( number == 0 ) len ++ ;
    return len ;
    len ++ ;
  }
  return - 1 ;
}"
35,"public static int counLastDigitK ( int low , int high , int k ) {
  int count = ( high - low ) / 10 ;
  if ( high % 10 >= k ) count ++ ;
  if ( low % 10 > k ) count -- ;
  return count ;
}
","public static int byLatDigiN ( int low , int high , int k ) {
  int count = ( high - low ) / 10 ;
  if ( high % 10 >= k ) count ++ ;
  if ( low % 10 > k ) count -- ;
  return count ;
}
","public static int counLastDigitK ( int low , int high , int k ) {
  int count = ( high - low ) / 10 ;
  if ( k <= high % 10 ) count ++ ;
  if ( low % 10 > k ) count -- ;
  return count ;
}"
36,"static int countSubarray ( int arr [ ] , int n , int k ) {
  int count = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int sum = 0 ;
    for ( int j = i ;
    j < n ;
    j ++ ) {
      if ( sum + arr [ j ] < k ) {
        sum = arr [ j ] + sum ;
        count ++ ;
      }
      else {
        break ;
      }
    }
  }
  return count ;
}
","static int cntSuabrray ( int arr [ ] , int n , int k ) {
  int count = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int sum = 0 ;
    for ( int j = i ;
    j < n ;
    j ++ ) {
      if ( sum + arr [ j ] < k ) {
        sum = arr [ j ] + sum ;
        count ++ ;
      }
      else {
        break ;
      }
    }
  }
  return count ;
}
","static int countSubarray ( int arr [ ] , int n , int k ) {
  int count = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int sum = 0 ;
    for ( int j = i ;
    n > j ;
    j ++ ) {
      if ( sum + arr [ j ] < k ) {
        sum = arr [ j ] + sum ;
        count ++ ;
      }
      else {
        break ;
      }
    }
  }
  return count ;
}"
37,"static int validPosition ( int arr [ ] , int N , int K ) {
  int count = 0 , sum = 0 ;
  for ( int i = 0 ;
  i < N ;
  i ++ ) {
    sum += arr [ i ] ;
  }
  for ( int i = 0 ;
  i < N ;
  i ++ ) {
    if ( ( arr [ i ] + K ) > ( sum - arr [ i ] ) ) count ++ ;
  }
  return count ;
}
","static int validSubarr ( int arr [ ] , int N , int K ) {
  int count = 0 , sum = 0 ;
  for ( int i = 0 ;
  i < N ;
  i ++ ) {
    sum += arr [ i ] ;
  }
  for ( int i = 0 ;
  i < N ;
  i ++ ) {
    if ( ( arr [ i ] + K ) > ( sum - arr [ i ] ) ) count ++ ;
  }
  return count ;
}
","static int validPosition ( int arr [ ] , int N , int K ) {
  int count = 0 , sum = 0 ;
  for ( int i = 0 ;
  i < N ;
  i ++ ) {
    sum = sum + arr [ i ] ;
  }
  for ( int i = 0 ;
  i < N ;
  i ++ ) {
    if ( ( arr [ i ] + K ) > ( sum - arr [ i ] ) ) count ++ ;
  }
  return count ;
}"
38,"static int countKdivPairs ( int A [ ] , int n , int K ) {
  int [ ] freq = new int [ K ] ;
  int ans = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int rem = A [ i ] % K ;
    if ( rem != 0 ) ans += freq [ K - rem ] ;
    else ans += freq [ 0 ] ;
    freq [ rem ] ++ ;
  }
  return ans ;
}
","static int conutKdvPais ( int A [ ] , int n , int K ) {
  int [ ] freq = new int [ K ] ;
  int ans = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int rem = A [ i ] % K ;
    if ( rem != 0 ) ans += freq [ K - rem ] ;
    else ans += freq [ 0 ] ;
    freq [ rem ] ++ ;
  }
  return ans ;
}
","static int countKdivPairs ( int A [ ] , int n , int K ) {
  int [ ] freq = new int [ K ] ;
  int ans = 0 ;
  for ( int i = 0 ;
  n > i ;
  i ++ ) {
    int rem = A [ i ] % K ;
    if ( rem != 0 ) ans = ans + freq [ K - rem ] ;
    else ans = ans + freq [ 0 ] ;
    freq [ rem ] ++ ;
  }
  return ans ;
}"
39,"static int run_tasks ( Queue < Integer > A , Queue < Integer > B ) {
  int total_time = 0 ;
  while ( ! A . isEmpty ( ) ) {
    int x = A . peek ( ) ;
    int y = B . peek ( ) ;
    if ( x == y ) {
      A . remove ( ) ;
      B . remove ( ) ;
      total_time ++ ;
    }
    else {
      A . remove ( ) ;
      A . add ( x ) ;
      total_time += 2 ;
    }
  }
  return total_time ;
}
","static int rnuTasks ( Queue < Integer > A , Queue < Integer > B ) {
  int total_time = 0 ;
  while ( ! A . isEmpty ( ) ) {
    int x = A . peek ( ) ;
    int y = B . peek ( ) ;
    if ( x == y ) {
      A . remove ( ) ;
      B . remove ( ) ;
      total_time ++ ;
    }
    else {
      A . remove ( ) ;
      A . add ( x ) ;
      total_time += 2 ;
    }
  }
  return total_time ;
}
","static int run_tasks ( Queue < Integer > A , Queue < Integer > B ) {
  int total_time = 0 ;
  for ( ;
  ! A . isEmpty ( ) ;
  ) {
    int x = A . peek ( ) ;
    int y = B . peek ( ) ;
    if ( y != x ) {
      A . remove ( ) ;
      A . add ( x ) ;
      total_time = total_time + 2 ;
    }
    else {
      A . remove ( ) ;
      B . remove ( ) ;
      total_time ++ ;
    }
  }
  return total_time ;
}"
40,"static String getSubSeq ( String s , int n ) {
  String res = """" ;
  int cr = 0 ;
  while ( cr < n ) {
    char mx = s . charAt ( cr ) ;
    for ( int i = cr + 1 ;
    i < n ;
    i ++ ) {
      mx = ( char ) Math . max ( mx , s . charAt ( i ) ) ;
    }
    int lst = cr ;
    for ( int i = cr ;
    i < n ;
    i ++ ) {
      if ( s . charAt ( i ) == mx ) {
        res += s . charAt ( i ) ;
        lst = i ;
      }
    }
    cr = lst + 1 ;
  }
  return res ;
}
","static String getLengthSeq ( String s , int n ) {
  String res = """" ;
  int cr = 0 ;
  while ( cr < n ) {
    char mx = s . charAt ( cr ) ;
    for ( int i = cr + 1 ;
    i < n ;
    i ++ ) {
      mx = ( char ) Math . max ( mx , s . charAt ( i ) ) ;
    }
    int lst = cr ;
    for ( int i = cr ;
    i < n ;
    i ++ ) {
      if ( s . charAt ( i ) == mx ) {
        res += s . charAt ( i ) ;
        lst = i ;
      }
    }
    cr = lst + 1 ;
  }
  return res ;
}
","static String getSubSeq ( String s , int n ) {
  String res = """" ;
  int cr = 0 ;
  while ( cr < n ) {
    char mx = s . charAt ( cr ) ;
    for ( int i = cr + 1 ;
    i < n ;
    i ++ ) {
      mx = ( char ) Math . max ( mx , s . charAt ( i ) ) ;
    }
    int lst = cr ;
    for ( int i = cr ;
    i < n ;
    i ++ ) {
      if ( s . charAt ( i ) == mx ) {
        res = res + s . charAt ( i ) ;
        lst = i ;
      }
    }
    cr = lst + 1 ;
  }
  return res ;
}"
41,"static int ksmallest ( int arr [ ] , int n , int k ) {
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    if ( arr [ i ] <= k ) k ++ ;
    else break ;
  }
  return k ;
}
","static int sets ( int arr [ ] , int n , int k ) {
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    if ( arr [ i ] <= k ) k ++ ;
    else break ;
  }
  return k ;
}
","static int ksmallest ( int arr [ ] , int n , int k ) {
  int i = 0 ;
  while ( i < n ) {
    if ( arr [ i ] <= k ) k ++ ;
    else i ++ ;
    break ;
    i ++ ;
  }
  return k ;
}"
42,"static int getOccurence ( int n , int d ) {
  int result = 0 ;
  int itr = d ;
  while ( itr <= n ) {
    if ( itr % 10 == d ) result ++ ;
    if ( itr != 0 && itr / 10 == d ) {
      result ++ ;
      itr ++ ;
    }
    else if ( itr / 10 == d - 1 ) itr = itr + ( 10 - d ) ;
    else itr = itr + 10 ;
  }
  return result ;
}
","static int getOcurence ( int n , int d ) {
  int result = 0 ;
  int itr = d ;
  while ( itr <= n ) {
    if ( itr % 10 == d ) result ++ ;
    if ( itr != 0 && itr / 10 == d ) {
      result ++ ;
      itr ++ ;
    }
    else if ( itr / 10 == d - 1 ) itr = itr + ( 10 - d ) ;
    else itr = itr + 10 ;
  }
  return result ;
}
","static int getOccurence ( int n , int d ) {
  int result = 0 ;
  int itr = d ;
  while ( itr <= n ) {
    if ( d == itr % 10 ) result ++ ;
    if ( itr != 0 && itr / 10 == d ) {
      result ++ ;
      itr ++ ;
    }
    else if ( itr / 10 == d - 1 ) itr = itr + ( 10 - d ) ;
    else itr = itr + 10 ;
  }
  return result ;
}"
43,"static int countSolutions ( int a ) {
  int count = 0 ;
  for ( int i = 0 ;
  i <= a ;
  i ++ ) {
    if ( a == ( i + ( a ^ i ) ) ) count ++ ;
  }
  return count ;
}
","static int countSoltions ( int a ) {
  int count = 0 ;
  for ( int i = 0 ;
  i <= a ;
  i ++ ) {
    if ( a == ( i + ( a ^ i ) ) ) count ++ ;
  }
  return count ;
}
","static int countSolutions ( int a ) {
  int count = 0 ;
  for ( int i = 0 ;
  a >= i ;
  i ++ ) {
    if ( a == ( i + ( a ^ i ) ) ) count ++ ;
  }
  return count ;
}"
44,"static int findSmallest ( int a [ ] , int n ) {
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int j ;
    for ( j = 0 ;
    j < n ;
    j ++ ) if ( a [ j ] % a [ i ] >= 1 ) break ;
    if ( j == n ) return a [ i ] ;
  }
  return - 1 ;
}
","static int finSmallest ( int a [ ] , int n ) {
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int j ;
    for ( j = 0 ;
    j < n ;
    j ++ ) if ( a [ j ] % a [ i ] >= 1 ) break ;
    if ( j == n ) return a [ i ] ;
  }
  return - 1 ;
}
","static int findSmallest ( int a [ ] , int n ) {
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int j ;
    j = 0 ;
    while ( j < n ) {
      if ( 1 <= a [ j ] % a [ i ] ) j ++ ;
      break ;
      j ++ ;
    }
    if ( j == n ) return a [ i ] ;
  }
  return - 1 ;
}"
45,"static boolean isUnique ( int [ ] a , int n , int k ) {
  int sum = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) sum += a [ i ] ;
  sum += n - 1 ;
  return ( sum == k ) ;
}
","static boolean isUniqu ( int [ ] a , int n , int k ) {
  int sum = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) sum += a [ i ] ;
  sum += n - 1 ;
  return ( sum == k ) ;
}
","static boolean isUnique ( int [ ] a , int n , int k ) {
  int sum = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) sum = sum + a [ i ] ;
  sum = sum + n - 1 ;
  return ( sum == k ) ;
}"
46,"public static boolean judgeSquareSum ( int n ) {
  for ( int i = 2 ;
  i * i <= n ;
  i ++ ) {
    int count = 0 ;
    if ( n % i == 0 ) {
      while ( n % i == 0 ) {
        count ++ ;
        n /= i ;
      }
      if ( i % 4 == 3 && count % 2 != 0 ) return false ;
    }
  }
  return n % 4 != 3 ;
}
","public static boolean jugdeSquareSum ( int n ) {
  for ( int i = 2 ;
  i * i <= n ;
  i ++ ) {
    int count = 0 ;
    if ( n % i == 0 ) {
      while ( n % i == 0 ) {
        count ++ ;
        n /= i ;
      }
      if ( i % 4 == 3 && count % 2 != 0 ) return false ;
    }
  }
  return n % 4 != 3 ;
}
","public static boolean judgeSquareSum ( int n ) {
  int i = 2 ;
  while ( i * i <= n ) {
    int count = 0 ;
    if ( n % i == 0 ) {
      while ( n % i == 0 ) {
        count ++ ;
        n /= i ;
      }
      if ( i % 4 == 3 && count % 2 != 0 ) i ++ ;
      return false ;
    }
    i ++ ;
  }
  return 3 != n % 4 ;
}"
47,"static int sumOfTheSeries ( int n ) {
  int sum = 0 ;
  for ( int i = 1 ;
  i <= n ;
  i ++ ) {
    int k = 2 ;
    for ( int j = 1 ;
    j <= i ;
    j ++ ) {
      sum += k ;
      k += 2 ;
    }
  }
  return sum ;
}
","static int smuToTheSeries ( int n ) {
  int sum = 0 ;
  for ( int i = 1 ;
  i <= n ;
  i ++ ) {
    int k = 2 ;
    for ( int j = 1 ;
    j <= i ;
    j ++ ) {
      sum += k ;
      k += 2 ;
    }
  }
  return sum ;
}
","static int sumOfTheSeries ( int n ) {
  int sum = 0 ;
  int i = 1 ;
  while ( i <= n ) {
    int k = 2 ;
    for ( int j = 1 ;
    i >= j ;
    j ++ ) {
      sum += k ;
      k += 2 ;
    }
    i ++ ;
  }
  return sum ;
}"
48,"static int sumOfTheSeries ( int n ) {
  int sum = 0 ;
  for ( int i = 1 ;
  i <= n ;
  i ++ ) {
    int k = 1 ;
    for ( int j = 1 ;
    j <= i ;
    j ++ ) {
      sum += k ;
      k += 2 ;
    }
  }
  return sum ;
}
","static int smWaysTheSeries ( int n ) {
  int sum = 0 ;
  for ( int i = 1 ;
  i <= n ;
  i ++ ) {
    int k = 1 ;
    for ( int j = 1 ;
    j <= i ;
    j ++ ) {
      sum += k ;
      k += 2 ;
    }
  }
  return sum ;
}
","static int sumOfTheSeries ( int n ) {
  int sum = 0 ;
  for ( int i = 1 ;
  n >= i ;
  i ++ ) {
    int k = 1 ;
    int j = 1 ;
    while ( j <= i ) {
      sum += k ;
      k += 2 ;
      j ++ ;
    }
  }
  return sum ;
}"
49,"static float sumOfAP ( float a , float d , int n ) {
  float sum = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    sum = sum + a ;
    a = a + d ;
  }
  return sum ;
}
","static float smOfCP ( float a , float d , int n ) {
  float sum = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    sum = sum + a ;
    a = a + d ;
  }
  return sum ;
}
","static float sumOfAP ( float a , float d , int n ) {
  float sum = 0 ;
  for ( int i = 0 ;
  n > i ;
  i ++ ) {
    sum = sum + a ;
    a = a + d ;
  }
  return sum ;
}"
